repo,path,file_type,label
Binaries,[extracted]/win32.duqu,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/account-report.txt                                                                      .pif,PE32 executable (fallback),likely_native_unknown
Binaries,[extracted]/IOC/2ecb26021d21fcef3d8bba63de0c888499110a2b78e4caa6fa07a2b27d87f71b,PE32 executable (DLL) (fallback),high_confidence_cpp
Binaries,[extracted]/IOC/8e97c371633d285cd8fc842f4582705052a9409149ee67d97de545030787a192,PE32+ executable (DLL) (fallback),likely_native_unknown
Binaries,[extracted]/IOC/d12cd9490fd75e192ea053a05e869ed2f3f9748bf1563e6e496e7153fb4e6c98,PE32 executable (DLL) (fallback),high_confidence_cpp
Binaries,[extracted]/IOC/e83c6c36dbd143ee0fd36aff30fb43529a34129817dc2530f251121527cbf4b4,PE32+ executable (DLL) (fallback),high_confidence_cpp
Binaries,[extracted]/IOC/5559fcc93eef38a1c22db66a3e0f9e9f026c99e741cc8b1a4980d166f2696188,PE32+ executable (DLL) (fallback),likely_native_unknown
Binaries,[extracted]/IOC/d8a849654ab97debaf28ae5b749c3b1ff1812ea49978713853333db48c3972c3,PE32+ executable (DLL) (fallback),likely_native_unknown
Binaries,[extracted]/IOC/9900c91f6d754f15f73729ce5a4333a718463e24aa7e6192c7527ec5c80dac42,PE32+ executable (DLL) (fallback),high_confidence_cpp
Binaries,[extracted]/IOC/6c803aac51038ce308ee085f2cd82a055aaa9ba24d08a19efb2c0fcfde936c34,PE32 executable (DLL) (fallback),high_confidence_cpp
Binaries,[extracted]/IOC/2a9a5afc342cde12c6eb9a91ad29f7afdfd8f0fb17b983dcfddceccfbc17af69,PE32+ executable (DLL) (fallback),likely_native_unknown
Binaries,[extracted]/IOC/6217cebf11a76c888cc6ae94f54597a877462ed70da49a88589a9197173cc072,PE32+ executable (DLL) (fallback),high_confidence_cpp
Binaries,[extracted]/IOC/2c9c3ddd4d93e687eb095444cef7668b21636b364bff55de953bdd1df40071da,PE32 executable (DLL) (fallback),high_confidence_cpp
Binaries,[extracted]/IOC/c16410c49dc40a371be22773f420b7dd3cfd4d8205cf39909ad9a6f26f55718e,PE32 executable (DLL) (fallback),high_confidence_cpp
Binaries,[extracted]/IOC/6de1bb58ae3c37876c6372208366f5548fcc647ffd19ad1d31cebd9069b8a559,PE32+ executable (DLL) (fallback),high_confidence_cpp
Binaries,[extracted]/IOC/2796a119171328e91648a73d95eb297edc220e8768f4bbba5fb7237122a988fc,PE32 executable (DLL) (fallback),likely_native_unknown
Binaries,[extracted]/IOC/6b146e3a59025d7085127b552494e8aaf76450a19c249bfed0b4c09f328e564f,PE32 executable (DLL) (fallback),likely_native_unknown
